관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소
41463-100182240,휴먼시아물푸레마을,0,585.398,7061.035,7021.287,0,110,0,경기도 용인시 기흥구 구성3로 38,경기도 용인시 기흥구 청덕동 503
41463-79106,초당마을주공아파트,0,442,6879.284,6831.414,0,108,0,경기도 용인시 기흥구 동백중앙로 41,경기도 용인시 기흥구 중동 1041
41463-80096,한보라마을휴먼시아,0,0,247.1,0,0,0,0,경기도 용인시 기흥구 한보라1로43번길 23,경기도 용인시 기흥구 보라동 606
41463-80135,한보라마을휴먼시아,0,0,277.2,0,0,0,0,경기도 용인시 기흥구 한보라2로 168,경기도 용인시 기흥구 공세동 674
41463-78478,녹원마을새천년그린빌주공아파트,0,459.347,4197.47,4181.87,0,76,0,경기도 용인시 기흥구 새천년로16번길 16,경기도 용인시 기흥구 신갈동 707
41465-182688,내대지마을,0,397.936,5077.638,5019.278,0,82,0,경기도 용인시 수지구 대지로 158,경기도 용인시 수지구 죽전동 1226
41465-182702,내대지마을주공아파트,0,455.909,4829.096,4814.476,0,77,0,경기도 용인시 수지구 디지털벨리로 21,경기도 용인시 수지구 죽전동 1367
41463-100196110,휴먼시아 흥덕마을,0,527.363,7011.046,6996.255,0,90,0,경기도 용인시 기흥구 흥덕1로79번길 7,경기도 용인시 기흥구 영덕동 980
41463-100210713,휴먼시아흥덕마을,0,408.266,5367.719,5328.897,0,86,0,경기도 용인시 기흥구 흥덕2로 80,경기도 용인시 기흥구 영덕동 1022
41463-100205234,휴먼시아흥덕마을,0,521.319,4565.811,4551.02,0,60,0,경기도 용인시 기흥구 흥덕2로 46,경기도 용인시 기흥구 영덕동 1021
31710-19509,구영2주공아파트,0,148.15,141.43,141.43,0,0,0,울산광역시 울주군 범서읍 점촌3길 23,울산광역시 울주군 범서읍 구영리 855-2
31200-100189691,매곡휴먼시아,0,534.246,7044.57,7044.57,0,120,0,울산광역시 북구 신천로 60,울산광역시 북구 매곡동 857
