관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소
41220-100418578,배다리마을5단지,0,323,323,323,0,0,0,경기도 평택시 죽백4로 60,경기도 평택시 죽백동 815
29155-130033395,엘에이치송화마을8단지,0,13.65,13.65,13.65,0,0,0,광주광역시 남구 노대실로 9,광주광역시 남구 노대동 825
48129-3000219035,창원석동엘에이치아파트,0,200.25,200.25,200.25,0,0,0,경상남도 창원시 진해구 냉천로 125,경상남도 창원시 진해구 석동 662
36110-5000172171,세종서창행복주택,0,518.85,2434.71,2434.71,0,46,0,세종특별자치시 조치원읍 조치원중고길 7,세종특별자치시 조치원읍 서창리 25-1
26710-100267783,부산정관행복주택,0,0,175.48,0,0,0,0,부산광역시 기장군 정관읍 정관1로 51,부산광역시 기장군 정관읍 모전리 717
41360-100379747,남양주장현행복주택2단지,0,476.58,6095.51,6030.4,0,200,0,경기도 남양주시 진접읍 금강로 1530-33,경기도 남양주시 진접읍 장현리 50-3
31200-100260443,울산송정엘에이치1단지,0,1032.85,13955.25,13835.13,0,330,0,울산광역시 북구 박상진4로 56,울산광역시 북구 화봉동 1491-2
45140-100273742,익산부송1주공아파트,0,614.39,9211.35,8633.07,0,239,0,전라북도 익산시 무왕로22길 12,전라북도 익산시 부송동 1069
29200-100326779,광주첨단엘에이치3단지,0,0,18.18,0,0,0,0,광주광역시 광산구 임방울대로800번길 11-5,광주광역시 광산구 월계동 869-2
46130-100294073,여수관문행복주택,0,709.58,3427.73,0,0,0,0,전라남도 여수시 관문1길 14,전라남도 여수시 관문동 251-2
41220-100461685,평택청북엘에이치비12단지,0,0,177.88,177.88,0,0,0,경기도 평택시 청북읍 안청로1길 21,경기도 평택시 청북읍 옥길리 1125
43130-100283541,충주호암 행복주택,0,0,18.73,0,0,0,0,충청북도 충주시 호암수청1로 30,충청북도 충주시 호암동 1067
50130-100342705,서귀포성산엘에이치아파트,0,40.92,40.92,40.92,0,0,0,제주특별자치도 서귀포시 성산읍 고성동서로 33,제주특별자치도 서귀포시 성산읍 고성리 1141-1
43130-100285480,충주호암1단지,0,211.05,207.45,207.45,0,0,0,충청북도 충주시 호암수청2로 56,충청북도 충주시 호암동 1066
42790-100205071,화천신읍 공공실버주택,0,34.44,0,0,0,0,0,강원도 화천군 화천읍 산천어길 196,강원도 화천군 화천읍 신읍리 1818
45180-100249993,정읍첨단LH1단지,0,22.04,22.04,22.04,0,0,0,전라북도 정읍시 첨단3로 7,전라북도 정읍시 신정동 1494-1
