지번주소;도로명주소;건물명;폐지여부
대전광역시 유성구 반석동 616;대전광역시 유성구 반석로 46;반석마을4단지;존재
대전광역시 대덕구 법동 283-1;대전광역시 대덕구 계족로663번길 34;주공아파트;존재
대전광역시 동구 낭월동 205;대전광역시 동구 산내로 1352-25;주공아파트;존재
대전광역시 중구 중촌동 128-1;대전광역시 중구 대전천서로 695;주공아파트2단지;존재
대전광역시 동구 천동 529;대전광역시 동구 대전로542번길 78;휴먼시아1단지아파트;존재
대전광역시 동구 판암동 314;대전광역시 동구 옥천로 152-9;주공아파트;존재
대전광역시 동구 판암동 239;대전광역시 동구 동부로 56-7;주공아파트4단지;존재
강원도 동해시 천곡동 1098;강원도 동해시 동굴로 15;동해천곡주공5차아파트;존재
경상남도 창원시 마산회원구 내서읍 삼계리 39;경상남도 창원시 마산회원구 내서읍 삼계2길 24;마산삼계2주공아파트;존재
경상남도 창원시 마산회원구 내서읍 상곡리 193;경상남도 창원시 마산회원구 내서읍 상곡로 49;상곡주공아파트1단지;존재
경상남도 밀양시 가곡동 455;경상남도 밀양시 중앙로 47;가곡주공아파트;존재
경상남도 밀양시 삼문동 567;경상남도 밀양시 미리벌중앙로 35;삼문휴먼시아아파트;존재
충청남도 보령시 동대동 1966;충청남도 보령시 한내로터리길 92;휴먼시아3단지,4단지주공아파트;존재
충청남도 보령시 명천동 413;충청남도 보령시 주공로 50;주공아파트;존재
부산광역시 북구 금곡동 53-1;부산광역시 북구 효열로 268;금곡1단지주공아파트;존재
부산광역시 북구 금곡동 98-1;부산광역시 북구 금곡대로616번길 10-9;금곡2단지주공아파트;존재
부산광역시 북구 금곡동 1108;부산광역시 북구 효열로 76;금곡4단지주공아파트;존재
부산광역시 북구 금곡동 811;부산광역시 북구 금곡대로550번길 23;금곡7단지주공아파트;존재
부산광역시 영도구 동삼동 1123;부산광역시 영도구 상리로 1;주공아파트, 동삼그린힐아파트;존재
부산광역시 영도구 동삼동 1121;부산광역시 영도구 동삼북로 2;주공아파트;존재
부산광역시 북구 덕천동 808;부산광역시 북구 덕천로 74;주공아파트2단지;존재
부산광역시 북구 만덕동 944-6;부산광역시 북구 함박봉로140번길 21;만덕3단지주공아파트;존재
부산광역시 사상구 모라동 552;부산광역시 사상구 모라로110번길 121;주공아파트1단지;존재
부산광역시 해운대구 반송동 77;부산광역시 해운대구 신반송로 200;주공아파트;존재
