col_comb,cb1,svr,cb2,rf,gb,cb3
"['0~19 인구수', '전용면적/전용면적별세대수', '전용면적/임대료', '공가수']",125.40708283948327,140.11711779094875,124.3442432653524,124.76909378888027,125.66223072725242,128.18075684608453
"['0~19 인구수', '전용면적/전용면적별세대수', '총세대수/전용면적', '공가수']",121.10340439451775,124.79448038325748,119.62916403115483,127.44338002641955,127.00545777879779,123.7515497464414
"['0~19 인구수', '전용면적/전용면적별세대수', '전용면적/연면적', '공가수']",125.68018991709312,134.068291581811,126.15345689593464,129.25205791799732,126.70603442540627,126.45243931639322
"['0~19 인구수', '전용면적/전용면적별세대수', '공가비율*전용면적별세대수', '공가수']",127.95228522757225,136.10595909807478,125.77475197931517,130.49652215000043,128.8902367174332,131.4635442540904
"['0~19 인구수', '전용면적/전용면적별세대수', '남/여_70세이상', '공가수']",128.01640788842113,135.40695461329807,127.1644892236146,131.36697006375806,132.10172086863446,128.75400763729345
"['0~19 인구수', '전용면적/전용면적별세대수', '공가비율*임대료', '공가수']",129.28896346945106,144.82314686053644,127.79161751573993,129.02197539186832,125.24616196387333,131.02475763026774
"['0~19 인구수', '전용면적/전용면적별세대수', '70세이상 인구수', '공가수']",134.7217697653364,138.70434991643356,132.62184703664553,132.70933890559414,132.25811443639373,135.64421730150607
"['0~19 인구수', '전용면적/전용면적별세대수', '공가비율*연면적', '공가수']",129.10362656439537,139.87954901880784,126.44252655168225,130.92381283096356,131.2395677392006,131.25064528461468
"['0~19 인구수', '전용면적/전용면적별세대수', '남/여_0~19세', '공가수']",129.08585310660902,135.40174683996045,128.71823433663707,131.81421204592456,128.19479785608056,133.4186357553501
"['0~19 인구수', '전용면적/전용면적별세대수', '총세대수*전용면적', '공가수']",127.172420381335,143.30450116478556,126.67820021233122,128.91722132512615,129.81927841981104,124.95554788242475
"['0~19 인구수', '전용면적/전용면적별세대수', '장기전세', '공가수']",132.38502229870517,135.39003704439455,129.18800423047045,132.22236042260838,130.75939860740027,136.5267394213209
"['0~19 인구수', '전용면적/전용면적별세대수', '전용면적별세대수*전용면적', '공가수']",125.58938151695297,144.92436589513804,123.02807637490521,126.55303556179345,124.95015683368918,126.77601868164759
"['0~19 인구수', '전용면적/전용면적별세대수', '공공임대(분납)', '공가수']",131.90364220132886,135.40052607221233,130.7200187079812,132.14101506360925,131.34676286268703,135.7181041355637
"['0~19 인구수', '전용면적/전용면적별세대수', '공가비율*전용면적', '공가수']",126.87976192637306,134.86606653445716,124.68317250589003,127.34077248203933,128.29870665536026,128.97835842744954
"['0~19 인구수', '전용면적/전용면적별세대수', '공공임대(10년)', '공가수']",128.67064454122425,134.9740456064529,126.74627727748376,128.22777533850598,127.30505262834916,129.51908298023426
"['0~19 인구수', '전용면적/전용면적별세대수', '공공임대(5년)', '공가수']",132.47177307448396,135.38852285385855,129.81245401826635,131.9525443277581,129.91601809519835,134.47918762441344
"['0~19 인구수', '전용면적/전용면적별세대수', '남/여_40~69세', '공가수']",128.005405019014,135.4179252340219,127.74073767478805,128.16964486313424,126.23470578607123,131.4915057893744
"['0~19 인구수', '전용면적/전용면적별세대수', '공공임대(50년)', '공가수']",132.1916158319878,135.39122816554342,130.42855654280638,132.0064782468966,130.13178182269894,136.00277340283904
"['0~19 인구수', '전용면적/전용면적별세대수', '전용면적*연면적', '공가수']",126.89035398765353,142.02817523866716,126.96382075335119,128.9095472938963,127.82955957554302,127.90270961312198
"['0~19 인구수', '전용면적/전용면적별세대수', 'subway_dist', '공가수']",131.0362391921622,135.42001353219555,127.61255637662198,134.59722690990884,132.55118134856303,134.97150933582225
"['0~19 인구수', '전용면적/전용면적별세대수', '환승역 수', '공가수']",134.13355496097998,135.48016016174364,130.74374807493732,132.0101603396988,130.80277669171102,135.33170476602263
"['0~19 인구수', '전용면적/전용면적별세대수', '남/여_20~39세', '공가수']",134.370723755606,135.4144205303749,132.76515384770892,134.65370750191198,132.39397184912337,133.41609791040568
"['0~19 인구수', '전용면적/전용면적별세대수', '총인구수', '공가수']",127.99229221355586,144.05352949070644,128.86095696911642,133.31590838068968,127.41526934183011,131.2188650434735
"['0~19 인구수', '전용면적/전용면적별세대수', '남/여비율', '공가수']",130.7689267867088,135.4033684226515,127.88327475543187,134.31980358117048,129.1622114570977,130.2426469740061
"['0~19 인구수', '전용면적/전용면적별세대수', '40~69 인구수', '공가수']",129.46060789807592,138.44135891902198,126.781083948687,129.4110328569126,128.64233715365899,129.26657663600844
"['0~19 인구수', '전용면적/전용면적별세대수', '세대당_인구', '공가수']",131.9848063072123,135.42079303732066,131.93071323504142,132.89310543086677,129.76079475175737,133.64847313249888
"['0~19 인구수', '전용면적/전용면적별세대수', '임대보증금', '공가수']",125.24448316008151,137.51158594568727,124.32840336217643,123.67368534055731,124.8197763679281,126.46546764546437
"['0~19 인구수', '전용면적/전용면적별세대수', '상가비율', '공가수']",130.50987358104595,135.36235983635507,131.60799061526603,131.75979749042094,130.6737701061554,136.11065668391552
"['0~19 인구수', '전용면적/전용면적별세대수', '임대료', '공가수']",124.72415883860599,130.16695406813415,122.2559127266649,121.17987343471722,122.6245304031323,126.4840666889726
"['0~19 인구수', '70세이상 인구수', '영구임대', '공가수']",137.4636559870377,138.61560771826274,137.26118338665668,138.90704467044384,135.2802142880651,142.0432275584161
"['0~19 인구수', '70세이상 인구수', '전용면적별세대수', '공가수']",139.07980295230635,138.79700453986814,137.46249150844747,140.33638380180884,135.95518375521027,140.12453912359004
"['0~19 인구수', '70세이상 인구수', '버스정류장', '공가수']",136.78764283021013,136.8333805208991,135.68124800871726,137.5547993928109,134.77913167433871,139.035650457892
"['0~19 인구수', '70세이상 인구수', '20~39 인구수', '공가수']",137.6375366823067,131.51868501459347,136.3297764462248,139.12797808904924,135.81961762104794,137.36408234475857
"['0~19 인구수', '70세이상 인구수', '총세대수', '공가수']",139.26828393069337,135.85920708709364,137.43179132784817,139.15389974823864,141.28643565151228,142.40659215813935
"['0~19 인구수', '70세이상 인구수', '지하철역', '공가수']",139.7336326246471,138.62326189050114,138.4777815202413,141.81176593607967,139.81814342982858,142.18408111994356
"['0~19 인구수', '70세이상 인구수', '공가비율', '공가수']",142.0991906620982,138.69401558728003,140.67310130183932,139.83122133285036,139.03153363146322,146.33356471469352
"['0~19 인구수', '70세이상 인구수', '공공분양', '공가수']",140.73187870358282,138.6835804793045,138.88327593357394,142.1479238717605,138.59098041057152,143.17554750992923
"['0~19 인구수', '70세이상 인구수', '행복주택', '공가수']",142.99400755849368,138.7027442055694,140.2146579312976,142.2457251727929,138.75193902377245,144.83271405098566
"['0~19 인구수', '70세이상 인구수', '국민임대', '공가수']",141.06419198528027,138.6315748879621,139.86485932671675,140.56734474131395,138.1559565341551,145.74232359254756
"['0~19 인구수', '70세이상 인구수', '전용면적/임대료', '공가수']",132.9699222762441,139.9850373439898,131.74346049843749,131.39212588447256,132.78546278500176,134.72659488719802
"['0~19 인구수', '70세이상 인구수', '총세대수/전용면적', '공가수']",126.02989176469312,126.75317494670617,125.59308182029767,128.4924117402908,128.73452960441972,127.57196197302956
"['0~19 인구수', '70세이상 인구수', '전용면적/연면적', '공가수']",135.62160830568334,137.28914325337752,134.56533711206424,138.60544631589124,134.43909998208989,137.87482014839324
"['0~19 인구수', '70세이상 인구수', '공가비율*전용면적별세대수', '공가수']",139.23112554498795,138.49375005947985,137.30434450292964,141.15443212416733,136.6898401066407,140.09641797920497
"['0~19 인구수', '70세이상 인구수', '남/여_70세이상', '공가수']",135.94888594810573,138.67960604905159,136.78873458942627,136.91551602748652,136.12004806592603,138.91212748554787
"['0~19 인구수', '70세이상 인구수', '공가비율*임대료', '공가수']",134.11840923291567,144.78272383955567,134.35264523843927,133.667492186093,131.19407348828082,140.70553445880984
"['0~19 인구수', '70세이상 인구수', '전용면적/전용면적별세대수', '공가수']",134.83397454206042,138.7043499164336,132.588437403448,132.69510635295018,132.5018226629239,138.48146914125408
"['0~19 인구수', '70세이상 인구수', '공가비율*연면적', '공가수']",138.171108592621,140.06156336071336,137.77056326727134,138.78581545958957,137.16789662018522,141.89602395567994
"['0~19 인구수', '70세이상 인구수', '남/여_0~19세', '공가수']",136.07350461277858,138.649034930848,134.50709236618087,137.76777313777808,134.45534733648464,140.48140364541752
"['0~19 인구수', '70세이상 인구수', '총세대수*전용면적', '공가수']",134.89274100861462,143.30398353246983,133.67336846180393,133.10293459138447,137.26386318840673,136.6521928756638
"['0~19 인구수', '70세이상 인구수', '장기전세', '공가수']",140.8989183935246,138.69337290072207,139.20115852294512,142.38287282698846,138.87014607413244,145.550725805573
"['0~19 인구수', '70세이상 인구수', '전용면적별세대수*전용면적', '공가수']",131.6590212736672,144.90588456008788,130.51309132119215,129.0602326676838,126.85894256088008,132.872763206227
"['0~19 인구수', '70세이상 인구수', '공공임대(분납)', '공가수']",141.62947858792373,138.70073245565476,138.78909836318562,141.85367757486839,137.60861022212026,142.19769428656573
"['0~19 인구수', '70세이상 인구수', '공가비율*전용면적', '공가수']",132.48719713440582,138.5027038965757,132.84267998328886,133.1686131454141,133.6069382454744,134.37072438520423
"['0~19 인구수', '70세이상 인구수', '공공임대(10년)', '공가수']",133.39969501235606,138.55194341466625,133.208055352032,136.14557656360316,130.6925130375354,137.31855506318647
"['0~19 인구수', '70세이상 인구수', '공공임대(5년)', '공가수']",140.9798007596874,138.69611565091594,140.05727192660342,141.68529054093764,138.01889506686376,143.08738951390993
"['0~19 인구수', '70세이상 인구수', '남/여_40~69세', '공가수']",141.05328092988034,138.67275877743683,137.06578926246524,136.90212185627593,132.2631249387762,145.3247442212081
"['0~19 인구수', '70세이상 인구수', '공공임대(50년)', '공가수']",141.15557238785163,138.6862201132641,139.29008253356065,142.2683663808064,138.4420746471106,144.69656613319427
"['0~19 인구수', '70세이상 인구수', '전용면적*연면적', '공가수']",134.16457098413025,142.02860773360578,134.39811705033526,134.3098947976895,132.58078822128724,136.68221290938888
"['0~19 인구수', '70세이상 인구수', 'subway_dist', '공가수']",137.6123125558499,138.68836219759197,134.4566312717578,141.42684598667145,140.96325382991753,136.44593389978803
"['0~19 인구수', '70세이상 인구수', '환승역 수', '공가수']",140.4759125433265,138.7803629869381,137.46114698665764,141.10026222982273,136.9210104982522,139.9146576974821
"['0~19 인구수', '70세이상 인구수', '남/여_20~39세', '공가수']",145.00111344775019,138.6601834224642,143.43666307247932,145.13063621473125,140.5700599913584,150.46420162569598
"['0~19 인구수', '70세이상 인구수', '총인구수', '공가수']",137.54581285459258,144.0428632826532,138.88495165673606,142.46456841804155,132.72395137357108,140.89237222689945
"['0~19 인구수', '70세이상 인구수', '남/여비율', '공가수']",139.97182952277328,138.67353063946348,136.51484928966084,143.3057643347408,135.62965994663196,145.88407388149236
"['0~19 인구수', '70세이상 인구수', '40~69 인구수', '공가수']",138.22631959209943,138.3711563820894,136.89642426958602,139.06937480065457,135.91231365027707,137.76276240512234
"['0~19 인구수', '70세이상 인구수', '세대당_인구', '공가수']",138.3261218404072,138.6416141420768,137.92950284111765,140.11767597185192,136.76261854477278,142.67753397977395
"['0~19 인구수', '70세이상 인구수', '임대보증금', '공가수']",128.88494670043278,137.50959319330383,129.51596549917565,127.07737377780907,126.2969905419629,130.48018195207646
