old;new
서울특별시 동대문구 한천로58길 75-11;서울특별시 동대문구 이문동 63-10
서울특별시 동대문구 천호대로77길 66;서울특별시 동대문구 장안동 404-14
서울특별시 동대문구 서울시립대로16길 36-11;서울특별시 동대문구 전농동 257-4
서울특별시 동대문구 회기로10가길 8;서울특별시 동대문구 회기동 102-42
서울특별시 동대문구 서울시립대로 11-2;서울특별시 동대문구 답십리동 463-28
서울특별시 동대문구 망우로16길 57;서울특별시 동대문구 휘경동 286-139
서울특별시 동대문구 한천로66길 21;서울특별시 동대문구 이문동 210-1 삼화에코빌
서울특별시 동대문구 천호대로67길 35;서울특별시 동대문구 답십리동 482-65 명성파크뷰
서울특별시 동대문구 외대역동로1길 60-3;서울특별시 동대문구 휘경동 375 휘경 해모로 프레스티지
서울특별시 동대문구 장한로27가길 37;서울특별시 동대문구 장안동 587 동대문더퍼스트데시앙
서울특별시 동대문구 한천로24길 9;서울특별시 동대문구 장안동 152-30 리움펠리체
서울특별시 동대문구 답십리로63길 64;서울특별시 동대문구 장안동 123-21 삼화에코빌9차
서울특별시 동대문구 한천로46길 70-10;서울특별시 동대문구 장안동 93-33 장안파크빌I
서울특별시 동대문구 답십리로69가길 3;서울특별시 동대문구 장안동 315-17 장안파크빌Ⅱ
서울특별시 동대문구 천호대로93길 17;서울특별시 동대문구 장안동 453-8 서도휴빌3차
서울특별시 동대문구 휘경로 60;서울특별시 동대문구 휘경동 372 휘경에스케이뷰
서울특별시 동대문구 장한로34길 23-4;서울특별시 동대문구 장안동 327-6 삼화에코빌8차
서울특별시 동대문구 답십리로56길 105;서울특별시 동대문구 답십리동 1014 답십리파크자이
서울특별시 동대문구 답십리로67길 29;서울특별시 동대문구 장안동 293-3 삼화에코빌7차
서울특별시 동대문구 천호대로77다길 6;서울특별시 동대문구 장안동 401-2 누리하우스
서울특별시 동대문구 한천로26길 47-3;서울특별시 동대문구 장안동 389-2 삼화에코빌(6차)
서울특별시 동대문구 사가정로25가길 31;서울특별시 동대문구 장안동 92-38 담터하우스
서울특별시 동대문구 천호대로83길 71-6;서울특별시 동대문구 장안동 426-8 서도휴빌
서울특별시 동대문구 천호대로89길 51;서울특별시 동대문구 장안동 445-3 더존에이스빌
서울특별시 동대문구 장한로10길 67;서울특별시 동대문구 장안동 439-9 선아하우스
서울특별시 동대문구 답십리로65길 114;서울특별시 동대문구 장안동 287-7 삼화에코빌2차
서울특별시 동대문구 사가정로2길 10-10;서울특별시 동대문구 답십리동 482-56 해성빌리지
서울특별시 동대문구 장한로24길 30-9;서울특별시 동대문구 장안동 341-19
서울특별시 동대문구 답십리로68길 78;서울특별시 동대문구 장안동 392-7 광진아트빌11차
서울특별시 동대문구 답십리로66길 75-5;서울특별시 동대문구 장안동 392-9 서도휴빌
서울특별시 동대문구 천호대로55길 11;서울특별시 동대문구 답십리동 1009 힐스테이트 청계
서울특별시 동대문구 답십리로 141;서울특별시 동대문구 답십리동 1013 래미안 미드카운티
서울특별시 동대문구 답십리로23길 30;서울특별시 동대문구 전농동 695 동대문 롯데캐슬 노블레스
서울특별시 동대문구 답십리로65길 49;서울특별시 동대문구 장안동 130-5 그레이스빌
서울특별시 동대문구 천호대로45길 55;서울특별시 동대문구 용두동 39-455 용두 홍원하이빌
서울특별시 동대문구 답십리로65길 54;서울특별시 동대문구 장안동 291-8 삼화에코빌5차
서울특별시 동대문구 장한로29길 30-13;서울특별시 동대문구 장안동 291-18 삼화에코빌3차
서울특별시 동대문구 한천로11다길 80;서울특별시 동대문구 답십리동 27-5 금영파크
서울특별시 동대문구 장한로22길 20-9;서울특별시 동대문구 장안동 346-19 리움펠리체
서울특별시 동대문구 망우로18다길 31-5;서울특별시 동대문구 휘경동 294-175
서울특별시 동대문구 천호대로89길 47;서울특별시 동대문구 장안동 445-5 빌라참스반도5
서울특별시 동대문구 천호대로77길 119;서울특별시 동대문구 장안동 195-4 장안파크빌
서울특별시 동대문구 장한로33길 30;서울특별시 동대문구 장안동 288-12 장안홈
서울특별시 동대문구 천호대로87길 19;서울특별시 동대문구 장안동 460-6 로하스빌-2
서울특별시 동대문구 한천로40길 9-9;서울특별시 동대문구 장안동 109-3 지오빌
서울특별시 동대문구 천호대로77가길 15;서울특별시 동대문구 장안동 405-11 빌라참스반도6
서울특별시 동대문구 한천로24길 51;서울특별시 동대문구 장안동 391-22 장안다경빌
서울특별시 동대문구 답십리로64길 27;서울특별시 동대문구 장안동 169-39 장안빌
서울특별시 동대문구 천호대로79길 37;서울특별시 동대문구 장안동 405-5 휴먼에코빌1차
서울특별시 동대문구 답십리로65길 44;서울특별시 동대문구 장안동 291-6
서울특별시 동대문구 장한로29길 34;서울특별시 동대문구 장안동 291-16
서울특별시 동대문구 고산자로44길 16-6;서울특별시 동대문구 제기동 893-2 제기빌라
서울특별시 동대문구 망우로12길 49-8;서울특별시 동대문구 휘경동 308-45 해마루빌III
서울특별시 동대문구 천호대로87길 13-4;서울특별시 동대문구 장안동 460-7 로하스빌-1
서울특별시 동대문구 망우로12길 42;서울특별시 동대문구 휘경동 308-15 해마루빌Ⅰ
서울특별시 동대문구 경동시장로9가길 21;서울특별시 동대문구 제기동 846-23 제기홈
서울특별시 동대문구 답십리로30길 10;서울특별시 동대문구 전농동 648-60
서울특별시 동대문구 사가정로23길 17;서울특별시 동대문구 장안동 96-7 장안동 빌라
서울특별시 동대문구 답십리로72길 74;서울특별시 동대문구 장안동 338-10 장안코지빌
서울특별시 동대문구 한천로 508;서울특별시 동대문구 이문동 209-20 서울빌리지
서울특별시 동대문구 한빛로 73;서울특별시 동대문구 용두동 794 용두롯데캐슬리치
