old;new
충청북도 충주시 금곡서1길 5;충청북도 충주시 연수동 1755 연수주공6단지아파트
충청북도 충주시 갱고개로 230;충청북도 충주시 연수동 1759 충주연수휴먼시아7단지아파트
경상남도 통영시 광도면 죽림1로 17-18;경상남도 통영시 광도면 죽림리 1578-3 죽림주공아파트
경기도 평택시 안중읍 안현로서6길 61;경기도 평택시 안중읍 현화리 843-1 주공아파트
경기도 평택시 이충로35번길 51;경기도 평택시 이충동 680 반지마을주공아파트
경상남도 함안군 가야읍 성내북길 57;경상남도 함안군 가야읍 도항리 307 함안도항2주공아파트
경상남도 함양군 함양읍 함양로 1246;경상남도 함양군 함양읍 교산리 379 함양교산휴먼시아
충청북도 음성군 감곡면 오향로 31;충청북도 음성군 감곡면 오향리 1181 음성감곡휴먼시아
충청북도 청주시 서원구 장전로 11;충청북도 청주시 서원구 성화동 708 성화휴먼시아4단지
광주광역시 광산구 풍영로329번길 51;광주광역시 광산구 장덕동 1044 신완마을 휴먼시아
전라남도 장성군 장성읍 문화로 21-34;전라남도 장성군 장성읍 영천리 1660 영천휴먼시아
전라북도 익산시 선화로1길 57-32;전라북도 익산시 모현동2가 577 배산휴먼시아5단지
경기도 광명시 소하로 189;경기도 광명시 소하동 1366 신촌휴먼시아2단지아파트
대전광역시 유성구 도안대로 560;대전광역시 유성구 봉명동 1024 도안마을1단지
경상북도 경주시 건천읍 대곡용명길 27;경상북도 경주시 건천읍 건천리 627 건천휴먼시아
광주광역시 광산구 풍영로329번길 50;광주광역시 광산구 장덕동 1037 신완마을 휴먼시아
대전광역시 유성구 원신흥로 37;대전광역시 유성구 원신흥동 495 도안휴먼시아10단지
전라남도 영암군 삼호읍 삼호중앙로 222;전라남도 영암군 삼호읍 용앙리 1739 영암용앙2휴먼시아
경상남도 창원시 의창구 소봉로 50;경상남도 창원시 의창구 봉림동 529
경기도 안양시 동안구 동편로 120;경기도 안양시 동안구 관양동 1672 동편마을
경상남도 창원시 의창구 대봉로 25;경상남도 창원시 의창구 봉림동 714 봉림휴먼시아2단지
충청북도 증평군 증평읍 송산로 35;충청북도 증평군 증평읍 송산리 720 증평송산1휴먼시아
경상남도 양산시 번영로 435;경상남도 양산시 소주동 870-2 소주휴먼시아
경기도 의왕시 이미로 17;경기도 의왕시 포일동 652 포일 숲속마을
경기도 남양주시 별내5로 22;경기도 남양주시 별내동 1049 별빛마을3단지
충청북도 청주시 청원구 율량로 17;충청북도 청주시 청원구 주중동 852 청주율량2 LH 1단지 아파트
서울특별시 서초구 양재대로2길 33;서울특별시 서초구 우면동 788 엘에이치서초4단지
경상북도 경주시 외동읍 본동길 14;경상북도 경주시 외동읍 입실리 1393 경주외동엘에이치아파트
경상북도 영양군 영양읍 영양창수로 93;경상북도 영양군 영양읍 동부리 94 영양동부엘에이치아파트 
경상북도 영천시 망정로 80;경상북도 영천시 망정동 378-1 영천망정휴먼시아5단지
경상남도 양산시 물금읍 가촌로 155;경상남도 양산시 물금읍 가촌리 800 양산가촌휴먼시아
충청남도 서천군 종천면 충서로302번길 88-34;충청남도 서천군 종천면 종천리 37-13 종천휴먼시아
전라남도 장흥군 장흥읍 북부로 3;전라남도 장흥군 장흥읍 건산리 810 장흥건산2휴먼시아
경상남도 함안군 칠원읍 구성길 141;경상남도 함안군 칠원읍 구성리 979 함안칠원엘에이치아파트
강원도 강릉시 경강로2301번길 6;강원도 강릉시 포남동 1181 포남엘에이치1단지아파트
경기도 안양시 동안구 동편로 80;경기도 안양시 동안구 관양동 1657 동편마을2단지
경기도 평택시 경기대로 508;경기도 평택시 비전동 1004 휴먼시아2단지
부산광역시 부산진구 신암로 66;부산광역시 부산진구 범천동 1644 범천엘에이치아파트
경상북도 포항시 북구 장량중앙로 117;경상북도 포항시 북구 양덕동 654-1 포항장량5단지LH아파트
경기도 화성시 남양읍 역골동로 152;경기도 화성시 남양읍 남양리 2221
서울특별시 강남구 자곡로3길 21;서울특별시 강남구 자곡동 619 엘에이치강남힐스테이트
충청남도 논산시 대학로65번길 19;충청남도 논산시 내동 1109 논산내동2단지
경기도 남양주시 늘을1로 107;경기도 남양주시 호평동 726 엘에이치호평1단지
부산광역시 사상구 광장로21번길 66;부산광역시 사상구 괘법동 522-3 괘법엘에이치아파트
경기도 남양주시 덕송3로 12;경기도 남양주시 별내동 807 별가람마을1-3단지
서울특별시 강남구 자곡로3길 22;서울특별시 강남구 자곡동 621 엘에이치강남3단지
강원도 춘천시 동면 소양강로 100;강원도 춘천시 동면 장학리 989 춘천장학엘에이치1단지
경상남도 밀양시 창밀로 3535;경상남도 밀양시 내이동 300 밀양내이엘에이치아파트
서울특별시 서초구 양재대로2길 34;서울특별시 서초구 우면동 784 엘에이치서초3단지
